GCCSA_CODE_2021,D_18_20_FPULPTW_MPTLF,D_18_20_FPULPTW_MPNLF,D_18_20_FPULPTW_MPLFSNS,D_18_20_FPULPTW_T,D_18_20_FPUT_MPEFT,D_18_20_FPUT_MPEPT,D_18_20_FPUT_MPEAW,D_18_20_FPUT_MPEHNS,D_18_20_FPUT_MPET,D_18_20_FPUT_MPULFTW,D_18_20_FPUT_MPULPTW,D_18_20_FPUT_MPUT,D_18_20_FPUT_MPTLF,D_18_20_FPUT_MPNLF,D_18_20_FPUT_MPLFSNS,D_18_20_FPUT_T,D_18_20_FPTLF_MPEFT,D_18_20_FPTLF_MPEPT,D_18_20_FPTLF_MPEAW,D_18_20_FPTLF_MPEHNS,D_18_20_FPTLF_MPET,D_18_20_FPTLF_MPULFTW,D_18_20_FPTLF_MPULPTW,D_18_20_FPTLF_MPUT,D_18_20_FPTLF_MPTLF,D_18_20_FPTLF_MPNLF,D_18_20_FPTLF_MPLFSNS,D_18_20_FPTLF_T,D_18_20_FPNLF_MPEFT,D_18_20_FPNLF_MPEPT,D_18_20_FPNLF_MPEAW,D_18_20_FPNLF_MPEHNS,D_18_20_FPNLF_MPET,D_18_20_FPNLF_MPULFTW,D_18_20_FPNLF_MPULPTW,D_18_20_FPNLF_MPUT,D_18_20_FPNLF_MPTLF,D_18_20_FPNLF_MPNLF,D_18_20_FPNLF_MPLFSNS,D_18_20_FPNLF_T,D_18_20_FPLFSNS_MPEFT,D_18_20_FPLFSNS_MPEPT,D_18_20_FPLFSNS_MPEAW,D_18_20_FPLFSNS_MPEHNS,D_18_20_FPLFSNS_MPET,D_18_20_FPLFSNS_MPULFTW,D_18_20_FPLFSNS_MPULPTW,D_18_20_FPLFSNS_MPUT,D_18_20_FPLFSNS_MPTLF,D_18_20_FPLFSNS_MPNLF,D_18_20_FPLFSNS_MPLFSNS,D_18_20_FPLFSNS_T,D_18_20_FPT_MPEFT,D_18_20_FPT_MPEPT,D_18_20_FPT_MPEAW,D_18_20_FPT_MPEHNS,D_18_20_FPT_MPET,D_18_20_FPT_MPULFTW,D_18_20_FPT_MPULPTW,D_18_20_FPT_MPUT,D_18_20_FPT_MPTLF,D_18_20_FPT_MPNLF,D_18_20_FPT_MPLFSNS,D_18_20_FPT_T,D_21_24_FPEFT_MPEFT,D_21_24_FPEFT_MPEPT,D_21_24_FPEFT_MPEAW,D_21_24_FPEFT_MPEHNS,D_21_24_FPEFT_MPET,D_21_24_FPEFT_MPULFTW,D_21_24_FPEFT_MPULPTW,D_21_24_FPEFT_MPUT,D_21_24_FPEFT_MPTLF,D_21_24_FPEFT_MPNLF,D_21_24_FPEFT_MPLFSNS,D_21_24_FPEFT_T,D_21_24_FPEPT_MPEFT,D_21_24_FPEPT_MPEPT,D_21_24_FPEPT_MPEAW,D_21_24_FPEPT_MPEHNS,D_21_24_FPEPT_MPET,D_21_24_FPEPT_MPULFTW,D_21_24_FPEPT_MPULPTW,D_21_24_FPEPT_MPUT,D_21_24_FPEPT_MPTLF,D_21_24_FPEPT_MPNLF,D_21_24_FPEPT_MPLFSNS,D_21_24_FPEPT_T,D_21_24_FPEAW_MPEFT,D_21_24_FPEAW_MPEPT,D_21_24_FPEAW_MPEAW,D_21_24_FPEAW_MPEHNS,D_21_24_FPEAW_MPET,D_21_24_FPEAW_MPULFTW,D_21_24_FPEAW_MPULPTW,D_21_24_FPEAW_MPUT,D_21_24_FPEAW_MPTLF,D_21_24_FPEAW_MPNLF,D_21_24_FPEAW_MPLFSNS,D_21_24_FPEAW_T,D_21_24_FPHNS_MPEFT,D_21_24_FPHNS_MPEPT,D_21_24_FPHNS_MPEAW,D_21_24_FPHNS_MPEHNS,D_21_24_FPHNS_MPET,D_21_24_FPHNS_MPULFTW,D_21_24_FPHNS_MPULPTW,D_21_24_FPHNS_MPUT,D_21_24_FPHNS_MPTLF,D_21_24_FPHNS_MPNLF,D_21_24_FPHNS_MPLFSNS,D_21_24_FPHNS_T,D_21_24_FPET_MPEFT,D_21_24_FPET_MPEPT,D_21_24_FPET_MPEAW,D_21_24_FPET_MPEHNS,D_21_24_FPET_MPET,D_21_24_FPET_MPULFTW,D_21_24_FPET_MPULPTW,D_21_24_FPET_MPUT,D_21_24_FPET_MPTLF,D_21_24_FPET_MPNLF,D_21_24_FPET_MPLFSNS,D_21_24_FPET_T,D_21_24_FPULFTW_MPEFT,D_21_24_FPULFTW_MPEPT,D_21_24_FPULFTW_MPEAW,D_21_24_FPULFTW_MPEHNS,D_21_24_FPULFTW_MPET,D_21_24_FPULFTW_MPULFTW,D_21_24_FPULFTW_MPULPTW,D_21_24_FPULFTW_MPUT,D_21_24_FPULFTW_MPTLF,D_21_24_FPULFTW_MPNLF,D_21_24_FPULFTW_MPLFSNS,D_21_24_FPULFTW_T,D_21_24_FPULPTW_MPEFT,D_21_24_FPULPTW_MPEPT,D_21_24_FPULPTW_MPEAW,D_21_24_FPULPTW_MPEHNS,D_21_24_FPULPTW_MPET,D_21_24_FPULPTW_MPULFTW,D_21_24_FPULPTW_MPULPTW,D_21_24_FPULPTW_MPUT,D_21_24_FPULPTW_MPTLF,D_21_24_FPULPTW_MPNLF,D_21_24_FPULPTW_MPLFSNS,D_21_24_FPULPTW_T,D_21_24_FPUT_MPEFT,D_21_24_FPUT_MPEPT,D_21_24_FPUT_MPEAW,D_21_24_FPUT_MPEHNS,D_21_24_FPUT_MPET,D_21_24_FPUT_MPULFTW,D_21_24_FPUT_MPULPTW,D_21_24_FPUT_MPUT,D_21_24_FPUT_MPTLF,D_21_24_FPUT_MPNLF,D_21_24_FPUT_MPLFSNS,D_21_24_FPUT_T,D_21_24_FPTLF_MPEFT,D_21_24_FPTLF_MPEPT,D_21_24_FPTLF_MPEAW,D_21_24_FPTLF_MPEHNS,D_21_24_FPTLF_MPET,D_21_24_FPTLF_MPULFTW,D_21_24_FPTLF_MPULPTW,D_21_24_FPTLF_MPUT,D_21_24_FPTLF_MPTLF,D_21_24_FPTLF_MPNLF,D_21_24_FPTLF_MPLFSNS,D_21_24_FPTLF_T,D_21_24_FPNLF_MPEFT,D_21_24_FPNLF_MPEPT,D_21_24_FPNLF_MPEAW,D_21_24_FPNLF_MPEHNS,D_21_24_FPNLF_MPET,D_21_24_FPNLF_MPULFTW,D_21_24_FPNLF_MPULPTW,D_21_24_FPNLF_MPUT,D_21_24_FPNLF_MPTLF,D_21_24_FPNLF_MPNLF,D_21_24_FPNLF_MPLFSNS,D_21_24_FPNLF_T,D_21_24_FPLFSNS_MPEFT,D_21_24_FPLFSNS_MPEPT,D_21_24_FPLFSNS_MPEAW,D_21_24_FPLFSNS_MPEHNS,D_21_24_FPLFSNS_MPET,D_21_24_FPLFSNS_MPULFTW,D_21_24_FPLFSNS_MPULPTW,D_21_24_FPLFSNS_MPUT,D_21_24_FPLFSNS_MPTLF,D_21_24_FPLFSNS_MPNLF,D_21_24_FPLFSNS_MPLFSNS,D_21_24_FPLFSNS_T,D_21_24_FPT_MPEFT,D_21_24_FPT_MPEPT,D_21_24_FPT_MPEAW,D_21_24_FPT_MPEHNS
1GSYD,710,130,0,844,778,201,108,18,1095,221,72,289,1385,222,0,1610,33669,6806,3339,470,44289,1023,263,1284,45570,4337,46,49955,7275,1976,1162,223,10634,332,131,458,11096,5922,30,17048,34,22,9,56,115,3,0,3,121,17,108,254,40977,8804,4511,745,55043,1358,391,1748,56787,10278,187,67258,8950,1339,622,49,10960,237,70,302,11266,1313,17,12590,5742,1816,546,48,8149,151,32,180,8330,1064,9,9409,952,294,557,19,1817,25,6,32,1847,275,0,2120,57,13,24,94,189,6,0,13,193,47,14,257,15702,3459,1743,207,21110,415,113,526,21639,2693,43,24375,158,54,20,4,234,99,8,111,344,48,0,389,192,60,27,3,287,44,45,89,379,90,0,474,353,112,50,11,525,144,52,197,727,139,0,863,16056,3573,1793,222,21637,554,167,727,22363,2833,43,25246,3849,1223,707,126,5907,195,84,275,6180,4141,23,10349,15,8,6,38,63,0,0,0,66,11,93,172,19919,4800,2499,382
1RNSW,92,13,0,104,113,18,0,0,137,28,4,25,165,24,0,186,10093,1497,355,101,12037,139,37,174,12212,747,23,12987,1153,258,59,27,1493,36,17,53,1545,520,7,2071,9,8,0,6,19,0,0,0,19,4,23,48,11248,1751,413,132,13549,173,55,228,13778,1279,44,15103,1920,225,62,17,2219,34,4,36,2253,190,0,2446,1463,316,62,9,1848,19,7,25,1868,180,3,2050,115,30,36,0,181,0,0,0,182,23,0,206,8,7,0,22,34,0,0,0,34,3,0,42,3508,569,156,45,4278,53,10,65,4346,406,4,4759,11,0,3,0,16,5,0,5,16,5,0,20,27,3,0,0,29,0,0,0,36,3,0,40,38,7,4,0,47,6,0,6,53,10,0,62,3541,572,161,51,4331,60,10,68,4399,417,4,4817,487,101,34,5,631,9,6,17,651,293,0,946,3,4,0,0,6,0,0,0,6,0,4,16,4033,677,189,59
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,847,89,3,943,958,231,21,14,1222,172,63,237,1459,160,6,1624,38624,6093,950,434,46097,987,279,1265,47361,3113,90,50566,7357,1825,247,200,9622,305,124,431,10061,3266,21,13347,41,14,0,43,97,0,0,0,103,18,99,212,46017,7933,1198,669,55817,1298,404,1699,57518,6398,207,64125,9447,1346,196,52,11043,199,65,261,11306,970,5,12281,8313,1897,221,47,10487,152,68,219,10705,939,14,11651,500,94,120,5,722,12,8,19,740,96,0,831,68,23,0,141,233,3,0,7,243,36,19,292,18329,3356,544,249,22477,366,138,505,22984,2038,36,25059,181,68,8,7,265,67,16,81,340,39,0,379,234,75,3,5,323,42,31,74,396,79,0,474,417,145,14,9,585,109,44,155,740,116,0,854,18750,3501,556,261,23069,471,182,655,23725,2155,39,25913,4156,1116,162,126,5551,171,54,231,5789,2587,22,8397,24,11,0,35,66,0,0,4,72,9,67,152,22923,4631,717,423
2RVIC,78,8,0,84,80,21,3,0,110,15,9,15,128,7,0,134,6479,892,209,93,7675,87,29,116,7792,424,13,8227,797,156,48,26,1030,9,16,26,1056,353,3,1408,12,0,0,0,13,0,0,0,13,0,11,15,7284,1045,261,125,8712,96,44,139,8855,772,25,9653,1015,133,25,7,1179,7,0,7,1190,84,5,1274,1052,197,41,11,1298,11,5,17,1318,72,0,1388,73,10,23,0,106,0,0,0,104,13,0,119,8,0,4,13,27,0,0,0,27,5,3,33,2145,344,89,34,2608,24,5,32,2645,174,7,2820,6,0,0,0,6,0,0,5,16,3,0,17,6,4,0,0,9,0,0,4,12,8,0,17,13,5,0,0,20,0,3,7,24,7,0,34,2156,347,89,35,2631,33,11,40,2666,179,7,2852,305,60,9,10,390,3,0,11,391,159,0,554,4,0,0,0,4,0,0,0,4,0,7,10,2463,410,98,44
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,218,32,0,249,299,50,13,12,369,43,14,53,421,53,0,473,15149,2104,640,150,18040,301,80,376,18418,1127,32,19574,2447,442,130,54,3079,93,36,129,3206,811,8,4023,19,3,0,5,29,0,0,0,31,4,23,56,17611,2551,775,208,21143,394,116,508,21651,1937,61,23649,3084,374,99,18,3575,66,21,86,3664,284,11,3956,2133,470,74,14,2688,37,15,52,2742,275,0,3015,305,60,73,3,447,7,0,9,457,43,0,501,31,0,0,27,62,3,0,3,64,6,3,73,5559,911,248,58,6775,114,35,153,6928,604,14,7542,44,15,0,0,58,18,0,18,74,12,0,87,57,15,5,0,77,8,7,21,91,14,0,101,101,28,5,3,134,22,7,33,167,22,0,192,5662,933,256,66,6908,139,46,182,7094,626,16,7736,1062,255,78,18,1410,57,21,76,1484,541,8,2030,4,0,0,3,11,0,0,0,11,0,14,24,6722,1189,332,86
3RQLD,97,14,0,116,120,26,4,0,152,26,3,35,184,36,0,220,7462,1260,314,97,9136,135,27,162,9300,621,16,9933,952,223,70,23,1267,43,14,59,1324,482,0,1812,5,0,0,9,9,0,0,0,9,3,11,29,8419,1488,382,131,10417,176,45,224,10640,1109,30,11779,1364,191,38,10,1604,18,3,25,1627,125,0,1755,991,262,56,10,1314,24,8,34,1351,122,0,1479,100,32,46,0,177,4,0,4,183,19,0,200,12,3,0,26,43,0,0,0,42,9,0,52,2471,482,135,44,3141,47,17,61,3196,274,5,3478,20,5,0,0,30,11,0,16,42,3,0,46,25,8,0,0,35,6,0,6,38,8,0,48,46,9,0,0,54,20,0,19,76,10,0,89,2522,489,140,47,3201,69,16,81,3280,289,5,3572,337,91,27,11,476,17,12,24,502,221,0,726,4,0,0,0,7,0,0,0,7,0,8,17,2870,581,163,64
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
