39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,155,14,0,164,171,54,6,3,231,46,11,60,292,29,0,321,8976,1483,242,71,10768,177,52,228,10998,726,24,11748,1308,349,42,33,1736,51,18,69,1805,709,7,2518,11,0,0,4,17,0,0,0,17,0,8,25,10296,1839,288,106,12524,225,71,294,12813,1439,39,14295,2264,346,58,11,2675,40,7,49,2722,220,0,2948,2061,444,49,15,2571,43,14,55,2628,227,3,2855,85,21,44,0,147,0,0,0,150,23,0,174,10,0,0,15,31,0,0,0,31,11,0,39,4420,808,154,47,5432,85,23,98,5533,480,5,6021,29,12,0,4,48,12,3,12,60,11,0,71,44,20,0,0,61,7,6,13,75,18,0,92,70,31,0,4,108,12,11,22,131,32,0,165,4495,835,155,48,5539,99,33,127,5663,513,5,6185,755,256,28,9,1050,34,8,44,1093,577,0,1672,5,0,0,4,11,0,0,0,10,0,11,18,5259,1093,182,60
4RSAU,11,0,0,11,10,0,0,0,7,7,0,5,18,0,0,19,845,101,34,15,993,10,3,7,1003,63,0,1062,75,15,0,5,95,3,3,5,102,53,0,154,0,0,0,0,0,0,0,0,0,3,5,5,919,117,39,17,1090,10,3,16,1105,117,5,1226,105,12,6,0,122,0,0,0,122,11,0,135,105,19,3,3,129,0,4,4,128,9,0,137,8,0,6,0,15,0,0,0,15,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,216,32,10,6,262,0,4,4,265,22,0,290,0,0,0,0,0,0,3,3,5,0,0,5,0,0,0,0,5,0,0,0,5,0,0,5,3,0,4,0,10,0,3,3,6,0,0,8,216,32,12,6,270,0,3,3,277,21,0,296,27,6,0,0,32,0,0,0,39,22,0,55,0,0,0,0,0,0,0,0,0,0,0,0,247,41,12,4
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,291,25,6,317,341,54,4,8,407,46,13,62,465,40,5,514,13267,1802,346,163,15573,274,81,352,15925,744,30,16698,2311,420,62,58,2847,64,27,79,2931,625,4,3562,16,4,0,11,25,0,0,0,25,0,16,45,15586,2225,407,232,18454,333,105,435,18885,1369,48,20305,3294,370,69,15,3749,54,29,79,3824,272,3,4102,2870,538,83,9,3506,70,17,87,3591,239,5,3836,119,25,46,0,198,5,5,3,200,15,0,217,16,6,0,36,65,5,6,4,73,3,0,78,6302,947,198,61,7509,124,53,175,7686,526,19,8230,60,16,4,0,76,13,0,14,94,6,0,100,97,15,0,5,119,12,9,21,137,16,0,159,160,33,7,4,198,22,11,38,230,30,0,260,6459,981,205,65,7706,150,60,207,7917,552,19,8484,1295,278,29,38,1638,39,12,47,1686,520,8,2213,3,5,0,9,18,0,0,0,18,3,16,38,7752,1261,234,114
5RWAU,8,0,0,8,15,0,0,0,11,0,0,0,13,0,0,13,579,66,25,8,684,9,0,11,697,36,0,732,75,9,4,4,94,0,0,0,93,24,0,121,0,0,0,0,0,0,0,0,0,0,0,0,657,81,30,14,779,11,0,10,795,62,0,854,84,8,5,4,96,0,0,0,95,6,0,102,66,18,3,0,84,0,0,0,86,3,0,93,3,0,3,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,148,26,13,3,188,0,0,4,191,13,0,209,0,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,6,0,0,0,7,0,0,7,157,28,13,3,199,3,0,0,202,13,0,215,37,3,5,0,40,0,0,0,40,7,0,53,0,0,0,0,0,0,0,0,0,0,0,0,191,28,15,6
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,13,0,0,12,19,6,0,0,19,0,3,3,22,0,0,21,1005,200,35,10,1254,9,10,16,1273,90,0,1365,131,33,4,3,171,0,0,0,175,64,0,238,0,0,0,3,3,0,0,0,3,0,0,3,1138,231,38,18,1427,12,10,20,1448,161,0,1604,195,41,3,0,237,0,0,0,241,10,0,252,206,48,5,0,259,0,0,4,260,35,0,295,11,4,4,0,18,0,0,0,18,0,0,20,0,0,0,0,4,0,0,0,4,0,0,3,403,99,16,4,519,3,0,5,522,50,0,571,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,9,0,0,8,5,0,0,0,5,0,0,0,5,5,0,8,408,99,16,4,526,3,0,5,524,55,0,579,51,8,7,0,61,5,0,5,62,44,0,104,0,0,0,0,0,0,0,0,0,0,0,0,455,111,14,4
6RTAS,10,0,0,11,3,4,0,0,14,0,3,4,12,3,0,13,873,140,41,18,1068,14,8,23,1088,82,0,1175,140,31,6,0,179,6,4,5,180,70,0,252,0,0,0,0,0,0,0,0,0,0,0,0,1009,177,41,17,1244,17,11,26,1276,152,0,1426,108,20,4,0,130,5,3,3,130,4,0,138,120,24,9,0,155,0,0,0,154,18,0,174,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,5,0,0,5,228,50,5,3,287,6,3,8,296,24,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,233,48,5,3,291,6,3,8,298,24,0,320,40,8,6,0,53,0,0,0,56,21,0,76,0,0,0,0,0,0,0,0,0,0,0,0,273,59,17,7
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,9,0,0,9,5,4,0,0,16,5,0,5,17,0,0,17,397,42,15,9,460,14,0,14,470,28,4,500,34,5,0,0,44,4,0,4,48,24,0,75,4,0,0,0,3,0,0,0,3,0,0,3,435,48,13,6,504,16,0,16,516,54,0,577,133,10,0,0,140,0,0,0,141,13,0,155,38,14,0,0,52,0,0,0,52,4,0,51,3,0,0,0,8,0,0,0,8,0,0,8,3,0,0,0,3,0,0,0,3,0,0,0,177,21,6,0,201,0,0,0,199,17,0,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,3,180,19,6,0,204,0,0,5,203,17,0,223,19,4,0,0,23,0,0,3,26,6,0,33,0,0,0,0,0,0,0,0,0,0,0,0,203,25,6,0
7RNTE,3,0,0,3,0,0,0,0,0,0,0,4,3,5,0,3,63,12,0,0,77,5,0,7,82,9,0,88,12,7,0,0,13,0,0,0,16,35,0,50,0,0,0,0,0,0,0,0,0,0,0,0,69,17,5,0,94,8,0,7,101,40,0,138,12,0,0,0,16,0,0,0,14,0,0,15,4,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,20,0,0,0,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,20,0,0,0,18,0,0,21,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,23,3,0,26,35,4,0,0,40,4,3,7,48,4,0,55,2895,359,69,15,3338,35,14,47,3384,225,3,3607,327,60,13,3,402,8,3,13,412,108,0,516,0,0,0,0,4,0,0,0,4,0,3,8,3221,409,83,21,3736,43,16,57,3798,329,8,4129,822,104,16,3,949,9,7,16,962,93,0,1057,330,81,15,0,427,5,0,10,431,43,0,484,24,10,6,0,39,0,0,0,39,12,0,49,6,0,0,4,8,0,0,0,8,4,0,8,1184,195,37,11,1420,17,9,21,1445,149,0,1593,3,3,0,0,6,3,4,7,16,0,0,13,9,0,0,0,9,5,0,5,14,0,0,14,13,3,0,0,16,10,4,10,24,0,0,25,1195,194,37,11,1439,20,10,30,1467,153,0,1622,179,50,7,0,246,7,4,7,251,87,0,344,0,0,0,0,0,0,0,0,0,0,4,0,1376,249,46,9
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
