GCCSA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
1GSYD,27608,755,248,1002,28609,6985,164,35762,234785,31235,14253,1421,281696,5077,980,6063,287757,20214,435,308403,197624,46742,14199,1640,260205,3458,721,4172,264379,16559,410,281343,46177,10261,15117,632,72188,805,142,949,73140,4110,113,77360,2511,566,407,3636,7121,121,29,152,7274,733,796,8813,481102,88806,43978,7326,621213,9459,1875,11340,632546,41614,1756,675921,6816,1174,490,163,8639,1548,174,1722,10363,969,23,11356,7908,1784,695,208,10597,1148,491,1642,12234,1260,32,13520,14728,2959,1185,369,19239,2693,664,3359,22598,2225,54,24876,495826,91760,45162,7700,640448,12159,2536,14696,655143,43837,1816,700799,129232,34602,18794,4859,187489,7311,2089,9400,196888,78440,1037,276369,1076,318,180,1734,3310,49,10,53,3365,501,3639,7511,626137,126681,64143,14290,831246,19512,4637,24155,855401,122786,6489,984678
1RNSW,4966,72,19,93,5059,711,12,5775,106239,13716,2894,700,123546,1177,376,1560,125103,6300,180,131585,137455,21843,3691,1216,164204,1224,385,1607,165816,6516,283,172616,18614,3001,2966,266,24844,193,55,251,25097,913,34,26048,1599,243,69,1677,3593,35,5,45,3640,247,331,4212,263912,38806,9620,3852,316187,2635,830,3467,319651,13978,829,334466,1425,283,85,38,1831,383,25,408,2242,237,10,2493,3194,570,89,81,3928,264,147,411,4340,352,6,4698,4620,851,174,116,5758,648,176,823,6584,587,20,7191,268533,39658,9797,3970,321949,3287,1002,4287,326239,14569,853,341656,47596,10032,2507,1743,61880,1826,657,2480,64355,13955,231,78544,394,103,24,344,861,12,14,25,886,103,1226,2221,316523,49790,12322,6058,384693,5125,1665,6790,391479,28631,2311,422420
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,28689,650,242,891,29587,4750,125,34458,221829,27586,4114,1077,254603,4425,1136,5560,260164,13655,400,274219,264700,43881,4972,1827,315377,3605,973,4571,319947,12153,446,332542,34567,4942,4307,354,44171,447,103,550,44718,1554,78,46351,3071,458,118,3438,7087,123,34,159,7247,511,659,8416,524163,76866,13517,6696,621235,8599,2243,10844,632076,27873,1583,661536,6657,1331,175,162,8333,1170,128,1298,9633,751,26,10412,10952,2221,253,273,13696,1003,489,1488,15192,1016,56,16264,17606,3556,436,436,22034,2171,620,2792,24824,1773,83,26677,541772,80420,13944,7133,643268,10772,2862,13634,656900,29648,1664,688213,140958,31827,4871,4582,182238,6132,1675,7808,190041,37809,945,228796,1285,392,39,1719,3436,54,4,61,3502,287,2979,6762,684011,112636,18862,13433,828941,16964,4538,21507,850444,67741,5583,923771
2RVIC,3020,35,13,46,3065,340,11,3421,51953,6969,1167,340,60431,598,223,813,61255,3145,79,64476,89084,12518,1950,795,104351,705,255,961,105308,3496,125,108928,10711,1522,1519,181,13929,94,19,113,14043,442,26,14509,998,156,35,1230,2420,25,7,32,2452,163,136,2749,152747,21166,4675,2548,181137,1421,504,1922,183056,7246,361,190662,718,162,36,14,930,161,13,181,1102,130,10,1245,1805,325,47,64,2246,143,59,196,2443,158,6,2609,2523,489,84,81,3172,302,73,380,3548,290,18,3854,155275,21650,4759,2625,184305,1719,580,2296,186608,7534,378,194515,30480,5407,1266,1043,38192,922,261,1179,39373,7296,140,46801,281,47,13,137,479,5,5,11,490,65,771,1329,186033,27105,6034,3805,222975,2652,839,3488,226463,14895,1288,242648
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,8326,193,68,263,8587,1169,36,9793,119069,14348,3512,588,137522,2138,525,2659,140176,7528,210,147915,120547,19508,3445,792,144292,1525,416,1944,146239,5625,216,152079,23251,3669,3479,238,30633,292,75,371,31000,1252,36,32293,1285,206,48,1492,3032,51,13,64,3091,270,289,3651,264154,37721,10487,3113,315476,4010,1024,5034,320513,14668,750,335934,2914,640,113,92,3765,555,66,621,4391,413,3,4807,4768,850,147,134,5901,414,160,577,6474,421,27,6931,7687,1496,262,226,9659,976,234,1198,10863,834,35,11737,271842,39218,10750,3335,325138,4980,1259,6241,331374,15508,783,347667,62188,12096,3151,1806,79239,2680,660,3332,82572,14012,358,96935,505,103,22,645,1271,20,6,22,1294,101,1252,2650,334530,51413,13912,5792,405653,7683,1914,9599,415247,29616,2396,447259
3RQLD,3680,85,24,107,3788,517,13,4319,96458,11679,2791,718,111644,1314,451,1762,113409,6236,197,119844,116429,19392,3808,1217,140841,1455,487,1951,142790,6088,201,149083,15640,2780,2718,223,21363,217,48,266,21624,964,25,22607,1417,208,42,1893,3558,50,7,54,3619,314,272,4199,229940,34067,9357,4043,277410,3032,1000,4032,281443,13598,698,295740,1683,332,54,63,2131,564,48,610,2743,429,11,3185,3585,676,150,131,4538,329,199,522,5060,380,14,5462,5267,1003,203,197,6670,895,241,1138,7802,812,22,8648,235202,35071,9567,4242,284083,3932,1240,5168,289252,14407,725,304386,49368,9558,2754,1866,63549,2171,704,2876,66428,14067,267,80759,484,124,29,465,1094,14,6,22,1116,120,1328,2562,285054,44754,12349,6572,348723,6114,1952,8064,356789,28598,2315,387705
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
