GCCSA_CODE_2021,D_21_24_FPT_MPET,D_21_24_FPT_MPULFTW,D_21_24_FPT_MPULPTW,D_21_24_FPT_MPUT,D_21_24_FPT_MPTLF,D_21_24_FPT_MPNLF,D_21_24_FPT_MPLFSNS,D_21_24_FPT_T,TDCF_FPEFT_MPEFT,TDCF_FPEFT_MPEPT,TDCF_FPEFT_MPEAW,TDCF_FPEFT_MPEHNS,TDCF_FPEFT_MPET,TDCF_FPEFT_MPULFTW,TDCF_FPEFT_MPULPTW,TDCF_FPEFT_MPUT,TDCF_FPEFT_MPTLF,TDCF_FPEFT_MPNLF,TDCF_FPEFT_MPLFSNS,TDCF_FPEFT_T,TDCF_FPEPT_MPEFT,TDCF_FPEPT_MPEPT,TDCF_FPEPT_MPEAW,TDCF_FPEPT_MPEHNS,TDCF_FPEPT_MPET,TDCF_FPEPT_MPULFTW,TDCF_FPEPT_MPULPTW,TDCF_FPEPT_MPUT,TDCF_FPEPT_MPTLF,TDCF_FPEPT_MPNLF,TDCF_FPEPT_MPLFSNS,TDCF_FPEPT_T,TDCF_FPEAW_MPEFT,TDCF_FPEAW_MPEPT,TDCF_FPEAW_MPEAW,TDCF_FPEAW_MPEHNS,TDCF_FPEAW_MPET,TDCF_FPEAW_MPULFTW,TDCF_FPEAW_MPULPTW,TDCF_FPEAW_MPUT,TDCF_FPEAW_MPTLF,TDCF_FPEAW_MPNLF,TDCF_FPEAW_MPLFSNS,TDCF_FPEAW_T,TDCF_FPHNS_MPEFT,TDCF_FPHNS_MPEPT,TDCF_FPHNS_MPEAW,TDCF_FPHNS_MPEHNS,TDCF_FPHNS_MPET,TDCF_FPHNS_MPULFTW,TDCF_FPHNS_MPULPTW,TDCF_FPHNS_MPUT,TDCF_FPHNS_MPTLF,TDCF_FPHNS_MPNLF,TDCF_FPHNS_MPLFSNS,TDCF_FPHNS_T,TDCF_FPET_MPEFT,TDCF_FPET_MPEPT,TDCF_FPET_MPEAW,TDCF_FPET_MPEHNS,TDCF_FPET_MPET,TDCF_FPET_MPULFTW,TDCF_FPET_MPULPTW,TDCF_FPET_MPUT,TDCF_FPET_MPTLF,TDCF_FPET_MPNLF,TDCF_FPET_MPLFSNS,TDCF_FPET_T,TDCF_FPULFTW_MPEFT,TDCF_FPULFTW_MPEPT,TDCF_FPULFTW_MPEAW,TDCF_FPULFTW_MPEHNS,TDCF_FPULFTW_MPET,TDCF_FPULFTW_MPULFTW,TDCF_FPULFTW_MPULPTW,TDCF_FPULFTW_MPUT,TDCF_FPULFTW_MPTLF,TDCF_FPULFTW_MPNLF,TDCF_FPULFTW_MPLFSNS,TDCF_FPULFTW_T,TDCF_FPULPTW_MPEFT,TDCF_FPULPTW_MPEPT,TDCF_FPULPTW_MPEAW,TDCF_FPULPTW_MPEHNS,TDCF_FPULPTW_MPET,TDCF_FPULPTW_MPULFTW,TDCF_FPULPTW_MPULPTW,TDCF_FPULPTW_MPUT,TDCF_FPULPTW_MPTLF,TDCF_FPULPTW_MPNLF,TDCF_FPULPTW_MPLFSNS,TDCF_FPULPTW_T,TDCF_FPUT_MPEFT,TDCF_FPUT_MPEPT,TDCF_FPUT_MPEAW,TDCF_FPUT_MPEHNS,TDCF_FPUT_MPET,TDCF_FPUT_MPULFTW,TDCF_FPUT_MPULPTW,TDCF_FPUT_MPUT,TDCF_FPUT_MPTLF,TDCF_FPUT_MPNLF,TDCF_FPUT_MPLFSNS,TDCF_FPUT_T,TDCF_FPTLF_MPEFT,TDCF_FPTLF_MPEPT,TDCF_FPTLF_MPEAW,TDCF_FPTLF_MPEHNS,TDCF_FPTLF_MPET,TDCF_FPTLF_MPULFTW,TDCF_FPTLF_MPULPTW,TDCF_FPTLF_MPUT,TDCF_FPTLF_MPTLF,TDCF_FPTLF_MPNLF,TDCF_FPTLF_MPLFSNS,TDCF_FPTLF_T,TDCF_FPNLF_MPEFT,TDCF_FPNLF_MPEPT,TDCF_FPNLF_MPEAW,TDCF_FPNLF_MPEHNS,TDCF_FPNLF_MPET,TDCF_FPNLF_MPULFTW,TDCF_FPNLF_MPULPTW,TDCF_FPNLF_MPUT,TDCF_FPNLF_MPTLF,TDCF_FPNLF_MPNLF,TDCF_FPNLF_MPLFSNS,TDCF_FPNLF_T,TDCF_FPLFSNS_MPEFT,TDCF_FPLFSNS_MPEPT,TDCF_FPLFSNS_MPEAW,TDCF_FPLFSNS_MPEHNS,TDCF_FPLFSNS_MPET,TDCF_FPLFSNS_MPULFTW,TDCF_FPLFSNS_MPULPTW,TDCF_FPLFSNS_MPUT,TDCF_FPLFSNS_MPTLF,TDCF_FPLFSNS_MPNLF,TDCF_FPLFSNS_MPLFSNS,TDCF_FPLFSNS_T,TDCF_FPT_MPEFT,TDCF_FPT_MPEPT,TDCF_FPT_MPEAW,TDCF_FPT_MPEHNS,TDCF_FPT_MPET,TDCF_FPT_MPULFTW,TDCF_FPT_MPULPTW,TDCF_FPT_MPUT,TDCF_FPT_MPTLF,TDCF_FPT_MPNLF,TDCF_FPT_MPLFSNS,TDCF_FPT_T
4GADE,6590,131,41,175,6766,1092,18,7875,52050,7775,945,263,61036,823,265,1091,62124,3112,85,65319,75442,12692,1398,489,90033,861,291,1152,91187,3175,130,94492,8080,1365,1097,79,10620,71,22,86,10705,326,19,11044,543,120,30,601,1300,14,6,19,1316,115,88,1519,136120,21954,3470,1440,162983,1774,582,2348,165331,6726,322,172380,1189,339,33,23,1588,291,17,308,1895,179,9,2082,2431,552,50,49,3077,232,114,347,3427,225,3,3651,3618,896,80,75,4669,521,128,657,5325,405,7,5734,139742,22849,3552,1509,167649,2295,709,3004,170655,7129,333,178117,29500,7066,1072,764,38403,1282,427,1709,40112,9115,123,49358,247,74,5,164,493,0,0,0,498,50,488,1038,169487,29987,4629,2442,206547,3578,1140,4714,211266,16304,943,228515
4RSAU,304,0,3,3,308,43,0,350,11068,1245,225,81,12624,96,51,139,12763,710,17,13489,19140,2615,500,232,22485,203,78,281,22764,888,23,23681,1676,293,311,28,2305,19,0,19,2327,96,4,2431,237,34,15,274,559,11,3,15,575,43,24,641,32123,4189,1055,607,37974,327,130,457,38431,1746,68,40246,148,42,7,8,198,58,12,73,268,51,3,324,372,65,19,10,469,46,21,67,537,47,6,583,520,100,24,18,664,106,33,139,800,100,8,911,32640,4292,1077,630,38635,432,165,593,39232,1841,77,41149,6750,1376,284,316,8721,308,115,418,9141,2186,49,11370,54,3,3,27,94,0,0,0,91,13,173,274,39444,5673,1358,974,47447,741,277,1018,48465,4042,291,52801
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,9364,185,70,261,9624,1077,32,10734,80945,9902,1752,450,93049,1304,393,1699,94748,4576,150,99472,124041,15392,2984,917,143330,1432,352,1785,145115,3951,224,149298,11791,1552,1769,125,15241,137,31,171,15413,432,41,15883,1113,133,35,1190,2476,48,6,51,2529,114,218,2859,217900,26973,6542,2685,254099,2917,786,3705,257799,9078,639,267513,2191,416,61,52,2711,319,42,365,3076,277,11,3364,5515,789,180,133,6615,343,107,445,7060,349,30,7440,7705,1207,239,183,9331,659,146,802,10135,630,38,10803,225597,28177,6784,2867,263428,3579,935,4507,267933,9703,676,278317,62770,9475,2587,1759,76600,1937,513,2446,79052,9335,267,88654,453,85,7,521,1067,18,0,18,1083,64,953,2110,288825,37743,9377,5158,341100,5528,1442,6974,348074,19109,1902,369082
5RWAU,245,3,0,0,243,21,0,264,16386,1806,497,162,18855,188,65,253,19105,1001,29,20140,25881,3233,1066,301,30475,239,73,310,30785,977,40,31809,2330,308,524,57,3218,14,0,17,3234,100,5,3347,293,25,13,375,703,9,0,13,714,70,31,818,44891,5368,2098,896,53253,454,137,589,53840,2158,105,56110,256,37,9,10,308,120,0,127,429,48,0,486,630,77,49,24,778,71,42,111,889,52,8,946,889,109,55,31,1086,188,41,233,1316,104,8,1430,45780,5475,2153,929,54338,640,182,825,55167,2260,112,57538,12060,1559,752,479,14849,519,115,636,15486,2870,54,18410,105,19,6,76,208,0,7,4,213,24,330,569,57938,7058,2912,1481,69400,1163,308,1467,70862,5159,495,76515
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,586,4,0,9,587,96,0,690,7984,1406,174,41,9605,102,41,142,9750,528,9,10286,12525,2777,228,88,15625,113,43,160,15775,500,10,16294,1330,258,241,13,1844,9,0,12,1862,67,3,1923,111,33,4,106,257,3,3,5,262,20,8,291,21952,4476,653,247,27327,234,92,321,27646,1118,31,28797,177,43,0,6,227,40,4,41,272,38,0,313,338,79,3,10,433,19,16,34,470,25,0,497,517,119,3,14,661,61,22,84,744,66,0,810,22466,4598,660,265,27989,291,111,405,28392,1188,32,29608,3822,962,141,111,5035,183,46,230,5268,1171,16,6456,30,7,0,26,60,0,0,0,61,3,53,119,26318,5563,796,403,33081,478,162,643,33716,2355,103,36180
6RTAS,350,3,3,7,356,45,0,400,7897,1310,213,73,9484,119,86,201,9686,603,13,10304,14395,2438,362,160,17355,190,46,237,17595,828,22,18447,1441,230,216,17,1905,22,5,28,1931,74,0,2009,138,16,3,209,368,0,6,3,367,23,17,408,23877,3992,802,447,29116,330,144,469,29587,1529,52,31170,153,50,11,3,221,64,9,71,288,44,0,334,292,80,12,12,390,40,29,68,463,54,0,515,445,132,22,13,608,101,40,137,747,103,0,854,24315,4121,823,459,29730,434,184,616,30341,1638,52,32023,5655,1355,268,192,7465,265,99,370,7830,1965,22,9818,39,14,0,14,63,0,0,0,66,7,94,158,30008,5484,1095,665,37254,696,282,979,38232,3602,163,41999
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,224,3,3,3,230,24,6,254,8474,831,211,49,9562,126,23,153,9712,360,12,10087,4882,824,157,37,5902,45,7,56,5957,203,6,6165,906,137,144,13,1201,13,0,13,1207,37,0,1250,87,9,0,102,196,3,0,3,191,20,10,222,14342,1807,506,196,16846,192,34,221,17072,614,32,17724,129,17,5,3,151,46,0,46,201,9,0,209,202,52,0,4,261,11,22,32,292,11,0,302,330,71,9,3,412,64,22,81,491,19,0,514,14675,1873,517,202,17261,253,49,306,17566,633,32,18233,2702,416,128,88,3335,82,14,100,3432,573,10,4014,32,0,0,25,59,8,0,8,72,0,60,131,17405,2289,643,312,20654,347,63,415,21063,1213,105,22379
7RNTE,17,0,0,0,21,10,0,30,3012,346,60,15,3435,55,21,78,3514,275,10,3798,1673,506,34,45,2249,75,25,98,2348,305,18,2667,289,51,106,0,445,6,0,6,455,31,0,489,45,3,0,94,143,14,0,14,155,40,17,216,5021,902,193,157,6275,149,46,195,6472,653,42,7169,64,45,5,5,117,276,15,289,405,65,0,476,48,21,0,0,68,30,55,84,150,49,0,202,117,67,5,5,186,305,64,374,559,110,3,674,5139,969,194,155,6461,457,108,570,7034,767,41,7845,1310,502,59,84,1954,315,79,389,2346,3636,56,6043,25,7,0,7,33,4,0,4,38,10,230,275,6467,1474,257,246,8451,776,189,967,9415,4419,327,14163
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,1682,27,15,35,1724,244,5,1966,30481,3385,601,113,34576,329,98,421,35003,1339,35,36374,22073,3434,388,116,26008,196,63,257,26269,678,37,26979,3777,589,647,49,5059,16,0,21,5079,130,10,5222,213,37,14,213,475,0,0,6,475,19,44,543,56545,7442,1646,478,66117,541,163,704,66821,2173,127,69122,494,75,18,5,585,62,11,74,660,24,0,689,606,72,13,10,696,38,11,48,740,39,4,783,1102,147,28,9,1281,100,22,119,1403,62,4,1471,57649,7588,1677,491,67399,638,185,825,68226,2239,131,70591,7860,1359,280,144,9640,215,47,263,9902,1270,32,11203,82,17,5,78,182,0,0,0,187,12,116,313,65589,8966,1953,714,77226,855,231,1093,78317,3515,273,82107
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,175,31,10,0,215,0,0,0,214,4,0,219,175,45,5,0,218,0,0,0,218,23,0,247,19,0,7,0,29,0,0,0,29,0,0,29,0,0,0,5,7,0,0,0,7,0,0,7,365,74,18,10,473,0,0,0,474,22,0,504,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,10,10,7,0,0,7,0,0,0,0,0,0,10,10,8,0,0,8,373,74,18,10,476,0,7,7,481,22,0,509,59,25,5,4,88,3,0,3,92,10,0,102,3,0,0,0,3,0,0,0,3,0,9,11,435,100,19,15,571,3,7,11,578,33,11,629
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
