GCCSA_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
1GSYD,4408,6561,5359,2891,9247,8455,1404,2596,8422,49341,132432,182248,153724,90210,245183,215026,47903,87360,17364,1171441,627,1624,1398,804,1765,1910,548,1757,159,10595,326,238,234,125,923,1319,381,1275,42,4862,9920,11761,10075,6307,36175,32007,9040,15058,990,131332,1073,961,847,665,5543,6078,1543,3227,149,20080,42117,22071,15536,8238,24667,47289,9642,25427,3299,198286,4275,6090,5616,3679,21602,22058,5336,9785,408,78845,34142,43619,31429,14969,36646,30071,7156,13464,2354,213851,37003,42597,18393,6661,11193,8624,2107,4967,1790,133334,11926,12012,12618,6400,25657,28141,7979,16527,1738,122993,3257,3668,3218,2243,14172,18126,4145,9414,380,58627,5389,6182,8663,7655,42861,55654,12745,29264,979,169389,2896,5580,4239,2482,9681,12040,3000,6657,376,46948,9586,22729,20833,12882,54061,83998,18085,41428,1605,265208,10289,13835,10708,4844,14983,14277,2766,5100,878,77677,8701,6574,9038,4510,47903,31718,10428,12974,1000,132839,16500,36282,23833,16053,42400,35416,10358,24364,1387,206584,22965,49240,51062,34627,69607,61111,11241,22803,2792,325449,10123,5298,3561,1930,5704,5659,1175,2591,324,36377
1RNSW,1289,3493,2316,1431,2785,2121,373,964,4095,18860,43018,121959,104061,66953,120015,85131,22637,42220,9762,615759,1741,6599,5851,4131,7078,11741,3899,21617,1353,64009,1813,628,1022,485,4000,6866,3793,11503,398,30503,2600,5470,4442,3867,17776,18665,6857,9860,645,70189,657,577,662,661,4444,4612,1327,2426,118,15491,5110,8994,8246,6805,20570,35564,9026,21007,1680,116993,842,2072,1685,1269,5357,6445,2176,4526,191,24564,7897,31486,19741,10813,21024,13612,4346,7294,1235,117441,10247,36316,14396,6382,10209,7150,2147,5714,1325,93891,2711,5313,4924,2707,7688,8693,3239,10471,735,46482,550,1179,922,556,2423,2006,528,1177,56,9405,1166,1674,2709,1894,6992,5427,1438,2770,137,24211,618,1822,1498,1046,3892,3207,1030,2427,125,15667,2183,7753,7318,5195,12626,13729,3737,8308,358,61204,2500,10143,6244,3507,7192,5662,1377,3023,553,40195,6000,4663,6564,4233,32491,20246,6879,8139,709,89922,6066,18248,15893,12126,23007,18191,6989,14243,745,115512,12449,28496,36726,29135,41517,33626,6958,12679,1853,203439,1701,3781,2072,1091,2607,2142,482,1279,179,15329
19499,0,11,9,3,4,3,6,0,15,54,136,241,168,98,172,161,35,102,20,1128,3,25,8,9,14,23,3,33,8,130,3,6,4,0,5,7,0,19,0,41,9,13,19,7,42,27,10,7,4,135,7,0,4,0,3,3,4,0,0,23,42,27,11,23,33,55,14,38,3,246,4,0,9,5,12,11,5,6,0,57,27,41,40,25,33,21,3,9,6,196,33,86,50,17,19,21,4,8,5,235,16,27,17,8,23,17,8,21,0,134,0,7,0,6,10,13,0,9,0,40,0,7,8,0,20,23,5,8,0,78,4,4,3,0,0,6,0,0,0,20,13,28,14,17,34,35,7,29,3,187,19,29,18,6,15,7,5,16,0,113,18,16,11,5,31,31,8,31,5,150,19,28,21,14,17,20,5,18,0,137,31,38,45,29,47,49,6,32,7,287,16,15,9,5,12,10,5,5,0,76
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,2146,6940,5722,3318,9203,7097,1166,2162,8134,45889,73403,215989,184877,119090,243551,195616,46657,76879,16737,1172787,593,2152,1942,1386,3361,3263,828,2103,206,15845,283,207,190,159,486,1086,412,1437,57,4318,4277,12952,11689,8751,50544,45121,13091,20445,1115,167996,771,972,1230,1226,7558,8006,2075,3617,184,25636,6337,15497,16335,12733,40686,74703,18589,38363,3262,226505,2075,5160,5483,4093,20860,20778,5715,9116,388,73670,14665,60219,36851,18064,42295,31973,8488,14342,2152,229046,15536,57503,25988,9601,16325,11676,3158,7069,1861,148723,5608,11242,13725,7548,25340,29696,8792,16404,1747,120096,1965,3714,3089,2224,11479,12429,2905,5588,277,43676,3934,4611,7021,5710,27321,41291,8032,16205,670,114791,1424,3654,3683,2383,9431,9793,2607,5591,304,38863,6225,19587,19158,13982,50657,73184,16070,34406,1232,234512,4053,15307,13958,6408,16876,13505,2969,5467,896,79444,7162,8269,9967,8368,40651,34912,9443,13273,917,132958,9960,38162,28365,18881,45281,34185,13008,24926,1308,214082,17466,48518,57872,49556,66887,54170,11785,20957,2660,329874,6321,9826,5096,3142,7193,7008,1584,3479,368,44020
2RVIC,741,1942,1323,768,1444,1167,203,508,2494,10596,24741,74732,61525,42019,61873,45734,11848,22102,6119,350707,1623,5738,4763,3411,6006,9173,3044,16317,1223,51294,482,183,168,140,448,948,487,2102,73,5036,2061,4555,3400,2705,12869,14528,5200,6852,548,52711,493,422,545,491,2611,3151,914,1621,98,10355,2347,4797,4109,3826,12192,23805,6062,13101,1054,71289,566,1368,1116,882,3587,4224,1412,2328,145,15628,4159,19519,11057,6070,11791,8412,2428,4036,822,68301,5183,19462,7024,2890,4727,3470,863,3049,712,47383,1535,2727,2754,1645,4176,5558,2027,6127,485,27041,361,813,607,370,1537,1241,390,607,43,5979,695,862,1380,1017,3580,3397,882,1617,88,13519,311,816,692,530,1836,1574,424,1130,68,7384,1136,4187,3824,2721,6426,7452,2018,4319,226,32321,1256,5454,3121,1773,3531,2541,646,1228,317,19869,3128,3361,3793,2946,12180,12326,2894,4022,352,45006,3183,9952,9083,6521,13278,8872,3957,7607,473,62923,7981,17301,22334,19880,20655,16785,3613,6235,1033,115823,1151,2490,1336,869,1890,1448,337,871,121,10524
29499,8,3,9,5,7,3,0,0,7,44,85,190,111,71,129,98,29,43,16,771,6,8,12,7,8,20,6,15,0,76,0,0,0,0,0,5,0,7,0,6,3,8,5,9,37,23,13,18,4,120,0,5,5,0,7,4,0,3,0,22,5,13,25,8,33,60,14,21,8,190,0,5,4,0,15,10,6,9,0,39,16,36,16,8,20,21,4,5,7,126,28,70,32,16,18,10,3,12,0,202,14,25,8,4,19,21,7,11,0,108,0,4,0,0,5,7,0,4,0,25,5,0,0,0,17,22,5,8,0,53,0,5,0,0,0,3,0,4,0,23,6,10,13,9,22,23,4,11,5,99,9,20,10,0,13,10,0,8,4,74,3,7,10,6,25,36,15,18,3,115,4,27,12,9,17,13,0,3,0,97,24,36,40,34,32,28,6,6,3,205,0,20,7,0,10,8,4,0,0,46
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,1345,3083,2496,1496,4166,3045,566,1159,3847,21215,59372,99941,88376,59076,135677,93871,23912,41174,8314,609709,435,1282,1223,928,1768,1880,606,2275,184,10574,1153,400,400,309,1716,3440,1262,5241,114,14023,2792,4793,4303,3507,22940,19660,6707,10587,619,75912,679,484,580,598,3432,5043,1295,2616,57,14786,4021,7222,6468,5525,17347,31391,9751,23856,1247,106826,1262,2081,2011,1567,9262,9010,2697,4482,194,32580,11643,25588,17092,9175,21327,14478,4289,6996,1042,111628,14713,29177,11372,4532,8182,5641,1711,3898,966,80190,4025,5463,6509,3851,14557,14687,5136,11630,833,66694,940,1256,1046,714,3744,3387,917,2041,84,14129,1614,1676,2754,2206,12660,10953,2876,5641,177,40564,999,2200,1868,1367,5043,5202,1484,3744,158,22081,3675,8729,8296,6183,22662,31351,7804,17061,443,106201,3330,7889,6222,3254,9260,6765,1588,3180,461,41954,5685,3590,5413,3752,28902,21137,5850,7823,618,82780,9410,18207,16470,9973,22383,16951,5572,12129,616,111714,14783,25009,29396,26407,45223,29344,6558,12597,1545,190854,4004,3374,1905,1116,3276,2688,632,1373,151,18517
3RQLD,1255,3586,2677,1635,3316,2502,463,1295,4503,21241,45016,107984,94995,65884,118566,80195,21563,46647,10331,591187,1366,4678,3938,3225,6100,8718,3006,19323,1192,51549,4170,982,1045,510,2667,5114,4268,21872,744,41370,2275,4716,3904,3124,15428,15725,6737,11740,586,64225,770,590,531,603,3244,4201,1243,2688,123,13985,4090,7869,7539,6630,18486,30241,10610,27909,1699,115085,943,1944,1655,1237,6116,6291,2173,4572,185,25111,8258,28348,18329,10694,21786,13627,4401,7940,1236,114629,10317,31516,14631,7344,12102,7936,2698,7285,1397,95231,3116,4934,5203,3084,8575,8870,3230,11259,723,48993,620,1037,904,541,2243,1873,455,1466,77,9217,950,1449,2141,1614,6097,5193,1342,2909,138,21829,849,2268,1935,1443,4685,4131,1360,3962,167,20801,2018,6647,6292,4578,12428,12971,3501,8947,364,57750,2483,8945,6012,3395,7460,5120,1493,4336,534,39781,4689,3794,4096,3259,21377,16905,5052,7555,715,67449,6342,15398,17117,11637,19363,15516,5738,12306,735,104157,12462,22925,29826,28190,41815,28659,6116,12519,1812,184318,3438,4012,2397,1451,3007,2463,539,1403,271,18976
39499,9,14,8,10,3,4,0,8,19,74,205,277,235,144,243,190,39,129,44,1512,6,18,25,20,63,56,32,74,3,300,14,3,0,0,11,9,3,35,0,89,11,18,14,8,40,40,8,14,0,147,0,0,7,0,4,8,3,14,3,44,25,30,23,21,44,68,26,72,15,319,4,3,3,0,10,11,5,11,0,48,31,46,30,22,35,25,5,12,6,216,62,107,83,41,58,24,7,33,7,434,22,10,17,14,41,20,6,50,0,181,3,6,0,4,7,7,0,7,0,37,5,3,6,6,8,9,7,0,0,41,4,5,5,7,12,8,5,5,0,43,15,39,22,5,17,48,12,10,0,171,16,40,27,16,34,24,3,22,11,194,27,11,16,12,38,16,5,8,3,134,30,32,19,16,21,18,4,4,5,149,48,47,59,33,57,69,7,21,3,340,6,12,13,4,7,0,0,3,3,54
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
