GCCSA_CODE_2021,F_ID_NS_0,F_ID_NS_1_19,F_ID_NS_20_29,F_ID_NS_30_34,F_ID_NS_35_39,F_ID_NS_40_44,F_ID_NS_45_49,F_ID_NS_50_over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_19,F_Tot_20_29,F_Tot_30_34,F_Tot_35_39,F_Tot_40_44,F_Tot_45_49,F_Tot_50_over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_19,P_AgriForestFish_20_29,P_AgriForestFish_30_34,P_AgriForestFish_35_39,P_AgriForestFish_40_44,P_AgriForestFish_45_49,P_AgriForestFish_50_over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_19,P_Min_20_29,P_Min_30_34,P_Min_35_39,P_Min_40_44,P_Min_45_49,P_Min_50_over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_19,P_Mnfg_20_29,P_Mnfg_30_34,P_Mnfg_35_39,P_Mnfg_40_44,P_Mnfg_45_49,P_Mnfg_50_over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_19,P_EGW_WS_20_29,P_EGW_WS_30_34,P_EGW_WS_35_39,P_EGW_WS_40_44,P_EGW_WS_45_49,P_EGW_WS_50_over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_19,P_Cnstn_20_29,P_Cnstn_30_34,P_Cnstn_35_39,P_Cnstn_40_44,P_Cnstn_45_49,P_Cnstn_50_over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_19,P_WTrade_20_29,P_WTrade_30_34,P_WTrade_35_39,P_WTrade_40_44,P_WTrade_45_49,P_WTrade_50_over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_19,P_RTrade_20_29,P_RTrade_30_34,P_RTrade_35_39,P_RTrade_40_44,P_RTrade_45_49,P_RTrade_50_over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_19,P_AccomFoodS_20_29,P_AccomFoodS_30_34,P_AccomFoodS_35_39,P_AccomFoodS_40_44,P_AccomFoodS_45_49,P_AccomFoodS_50_over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_19,P_TransPostWhse_20_29,P_TransPostWhse_30_34,P_TransPostWhse_35_39,P_TransPostWhse_40_44,P_TransPostWhse_45_49,P_TransPostWhse_50_over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_19,P_InfoMedTelecom_20_29,P_InfoMedTelecom_30_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40_44,P_InfoMedTelecom_45_49,P_InfoMedTelecom_50_over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_19,P_FinInsurS_20_29,P_FinInsurS_30_34,P_FinInsurS_35_39,P_FinInsurS_40_44,P_FinInsurS_45_49,P_FinInsurS_50_over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_19,P_RentHirREserv_20_29,P_RentHirREserv_30_34,P_RentHirREserv_35_39,P_RentHirREserv_40_44,P_RentHirREserv_45_49,P_RentHirREserv_50_over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_19,P_ProScieTechServ_20_29,P_ProScieTechServ_30_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40_44,P_ProScieTechServ_45_49,P_ProScieTechServ_50_over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_19,P_AdminSupServ_20_29,P_AdminSupServ_30_34,P_AdminSupServ_35_39,P_AdminSupServ_40_44,P_AdminSupServ_45_49,P_AdminSupServ_50_over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_19,P_PubAdmiSafety_20_29,P_PubAdmiSafety_30_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40_44,P_PubAdmiSafety_45_49,P_PubAdmiSafety_50_over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_19,P_EducTrain_20_29,P_EducTrain_30_34,P_EducTrain_35_39,P_EducTrain_40_44,P_EducTrain_45_49,P_EducTrain_50_over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_19,P_HealthCareSocA_20_29,P_HealthCareSocA_30_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40_44,P_HealthCareSocA_45_49,P_HealthCareSocA_50_overr,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_19,P_ArtRecServ_20_29,P_ArtRecServ_30_34,P_ArtRecServ_35_39,P_ArtRecServ_40_44,P_ArtRecServ_45_49,P_ArtRecServ_50_over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
4GADE,367,1402,1136,686,1646,909,184,362,1516,8206,16811,63903,58696,39049,74175,40496,12186,18176,3715,327210,261,1111,1007,762,1554,1491,526,1286,129,8133,736,199,223,144,703,978,545,2718,67,6318,1218,3599,3361,2595,14497,10838,3897,5013,329,45352,279,360,387,420,2600,2658,791,1337,60,8886,1730,4055,4251,3493,11020,16617,4966,9631,626,56393,402,1205,1256,962,4927,3990,1362,1943,74,16127,2570,18935,11437,5720,12705,7327,2454,3431,562,65134,2228,17483,8168,3313,5106,3429,1413,2434,466,44044,1367,2676,3256,1816,5816,5759,2184,4486,337,27701,238,796,687,484,2337,1888,465,879,45,7808,758,1124,1858,1620,7297,4749,1420,2298,91,21223,301,956,906,592,2304,1747,602,1246,54,8695,1192,4656,4783,3481,11727,12119,3253,6111,211,47529,962,5580,4788,2522,5937,3228,888,1529,247,25678,2526,2107,3461,3378,16832,12073,3424,3819,293,47901,2672,10145,9301,5967,12624,9098,3938,6631,309,60687,6299,15903,21285,18430,28283,12921,3897,6772,856,114652,602,3004,1443,866,1790,1325,388,711,72,10185
4RSAU,154,443,304,152,296,171,47,140,586,2305,4508,17283,15069,9819,13775,9350,2896,6024,1577,80295,878,2459,1979,1533,2769,4721,1656,7039,440,23477,545,122,116,53,328,563,391,2433,75,4621,544,1179,1014,842,3759,3898,1718,1956,150,15055,88,107,112,104,443,532,166,351,20,1930,519,1012,964,818,2383,3505,1049,2723,211,13183,132,329,257,224,773,934,326,626,41,3634,676,4316,2883,1645,2662,1843,653,1084,229,15992,616,4302,1947,908,1136,879,349,983,245,11374,358,756,782,449,868,1180,461,1748,121,6729,29,126,95,59,211,140,37,71,5,780,92,192,282,193,447,340,109,222,8,1885,56,191,141,113,369,196,90,223,18,1401,161,702,605,384,920,832,233,566,47,4458,264,1657,954,532,1001,736,223,447,97,5910,501,507,583,617,2581,1932,425,681,70,7896,661,2032,2474,1484,2142,1720,898,1697,113,13215,1442,3505,4477,3731,4573,2544,688,1250,288,22497,88,427,248,152,227,180,79,131,26,1543
49499,0,3,0,0,0,0,0,0,6,11,42,68,37,32,56,32,10,24,10,311,0,0,0,8,3,4,4,3,0,30,7,3,0,4,0,0,0,6,0,19,6,3,0,5,13,6,0,7,0,37,0,0,0,0,0,4,0,4,0,11,4,9,0,4,13,12,0,23,3,69,0,0,0,5,4,0,0,0,0,8,4,16,9,0,13,3,4,5,0,54,3,27,9,7,6,3,3,6,4,62,7,7,4,9,3,9,0,13,0,51,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,11,0,0,0,0,0,0,0,4,0,12,0,9,5,0,10,13,6,4,0,46,6,15,16,6,12,0,0,7,0,62,7,0,3,0,12,0,0,0,0,36,8,4,5,8,4,6,0,9,0,28,9,16,16,14,20,15,3,3,3,99,0,0,3,0,0,0,0,0,0,7
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,651,3441,2642,1465,2837,2709,458,945,3091,18233,24617,102918,88434,53436,100019,76497,20400,35919,6812,509051,266,1115,919,708,1117,1516,455,1301,124,7522,6140,2057,2322,1431,6003,12634,6937,31609,990,70130,1608,4234,3813,2573,13557,14679,5557,9516,374,55904,458,471,581,560,3385,3105,1078,2020,89,11744,2863,6118,6219,5164,13363,27352,8620,23110,1114,93927,778,1926,1913,1359,6181,7507,2374,4763,155,26954,3373,27286,17170,7933,16076,11695,3675,6200,822,94230,2051,25448,12501,5329,7841,6489,2203,5686,784,68330,2311,4325,4856,3048,8021,11509,4124,8983,632,47803,298,1252,911,589,2140,2236,532,1001,63,9013,1089,1759,2462,1753,6451,7197,1743,3340,125,25917,418,1823,1658,1037,3087,3515,1186,2840,113,15691,2557,7917,7441,5326,16148,24065,6300,12554,366,82670,1234,7318,5747,2662,5739,5315,1406,3342,347,33115,3665,4375,4890,3636,19213,16512,4529,6172,409,63394,3791,17183,13822,9320,17505,15362,5756,10052,516,93309,7940,22869,26981,19923,34009,21368,5193,9880,1145,149312,716,5765,2657,1598,2989,2612,713,1442,139,18637
5RWAU,216,784,490,285,432,433,120,303,802,3865,6817,22353,18486,12154,19351,16252,5179,12305,2034,114926,986,2282,1829,1287,1605,3886,1581,8101,430,21982,2912,951,808,318,1305,3058,2743,15033,518,27636,583,988,785,598,2330,3184,1582,2624,123,12815,156,176,147,130,771,824,380,752,41,3371,964,1434,1241,1093,2405,4774,1820,6913,315,20959,212,400,339,213,673,1362,619,1389,47,5252,890,5176,3383,1949,3397,2608,953,1740,196,20299,693,5006,2570,1418,2059,1838,663,2141,274,16673,619,1100,1082,605,1192,2029,845,3539,176,11189,44,183,121,75,212,219,72,122,6,1058,122,253,300,200,493,524,133,274,9,2313,118,312,282,171,604,548,198,671,24,2929,307,1059,829,662,1217,1458,426,1328,72,7354,353,1657,1110,637,990,914,328,1019,102,7110,1018,1088,1008,749,3652,3789,962,1579,106,13956,1113,3181,3112,2355,3592,3558,1441,2507,173,21036,1909,4065,4694,3905,6078,4143,963,2056,281,28100,139,677,405,198,366,314,95,242,37,2475
59499,3,3,0,0,7,7,0,0,3,30,80,124,94,58,124,106,25,96,12,715,4,5,5,9,24,19,10,23,0,101,23,7,5,7,8,10,13,123,0,188,4,3,8,6,17,13,7,7,0,67,4,0,0,0,0,4,0,3,0,12,31,6,10,10,7,35,9,58,0,168,0,0,0,0,6,6,0,6,0,22,9,13,16,4,17,20,4,4,0,88,6,44,28,16,36,37,18,39,7,231,12,15,6,3,8,16,6,24,4,88,0,9,0,0,0,5,0,0,0,17,3,7,0,3,0,0,0,4,0,16,0,5,0,0,0,0,0,0,0,9,11,24,11,7,7,17,3,9,0,92,3,7,9,5,8,14,0,14,0,62,15,4,3,0,14,19,0,11,0,66,12,14,13,9,9,8,4,3,0,69,22,25,35,10,26,17,0,9,0,157,0,4,4,0,5,7,0,5,0,25
59799,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,16,0,29,0,0,0,0,0,4,0,36,5,41,4,0,0,0,5,0,4,62,0,74,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,9,0,5,0,0,0,0,0,0,0,34,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,0,4,0,0,0,0,0,31,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,53,196,189,90,171,110,27,51,318,1206,3269,11629,11062,7165,12862,6874,2122,3243,763,58995,93,282,234,195,516,508,143,373,44,2393,36,17,20,8,18,60,39,114,3,319,195,637,531,358,1475,1532,621,611,52,6006,102,81,127,155,1012,621,223,258,24,2608,258,625,701,667,2088,3568,705,1352,130,10083,57,208,208,113,572,500,115,194,10,1975,460,3093,2107,990,2124,1209,449,575,108,11120,326,3234,1789,750,1462,866,271,463,119,9275,262,457,510,284,761,774,277,572,50,3960,55,187,162,92,481,325,87,138,0,1532,112,157,252,206,915,535,146,250,14,2598,45,188,142,97,411,256,88,155,15,1394,234,914,913,690,2002,1582,435,815,33,7632,151,904,637,316,674,387,107,211,42,3422,753,642,1172,1066,4114,2265,713,1023,79,11826,544,2236,2199,1146,2672,1780,711,1110,71,12473,1236,2613,3702,3446,4419,2355,718,1346,157,19998,116,731,438,264,465,372,96,210,8,2695
6RTAS,101,350,191,127,175,122,26,65,370,1527,3751,14280,12682,7847,12174,7854,2184,4127,1060,65967,444,1191,1055,908,1780,2086,642,2641,262,11012,212,77,68,49,148,387,327,1038,33,2327,454,886,845,617,2657,2387,991,1212,127,10176,76,71,86,101,579,511,145,262,25,1855,351,842,769,695,2130,3910,1074,1765,161,11696,122,301,299,258,985,938,316,504,18,3748,608,3584,2264,1247,2482,1589,556,794,158,13277,478,3683,1771,807,1304,935,276,746,162,10161,438,656,707,389,1020,1121,486,1443,121,6379,47,157,112,70,290,201,49,92,3,1027,92,152,284,183,633,465,108,213,11,2149,62,200,160,115,375,238,91,176,9,1420,167,838,685,457,1179,1036,261,609,28,5259,194,1191,670,345,699,446,123,243,48,3963,465,573,695,603,2041,1304,384,583,57,6703,489,1992,2322,1023,2256,1709,622,1083,87,11575,1483,3053,4106,3528,4240,2887,740,1436,227,21692,108,496,289,180,358,222,69,178,20,1920
69499,0,0,0,0,0,0,0,0,0,3,15,30,23,14,29,13,7,0,0,133,0,3,0,3,0,3,0,3,0,20,0,0,0,0,0,0,4,6,0,5,0,0,0,3,4,3,4,4,0,19,0,0,0,0,5,0,0,0,0,5,8,0,0,0,8,17,0,4,0,35,0,0,0,0,3,4,0,0,0,3,0,9,5,0,10,0,0,0,0,34,3,10,3,4,8,0,3,0,0,28,0,7,3,0,4,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,13,0,0,10,0,0,3,0,0,0,15,0,3,5,0,4,4,0,0,0,18,0,0,3,0,0,0,0,0,0,12,4,5,9,7,5,0,0,4,0,37,4,0,0,0,0,0,0,0,0,10
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,47,144,133,72,228,186,38,94,261,1201,2049,4252,4207,3226,9958,6743,1868,3564,599,36467,31,64,61,47,148,201,56,233,15,863,281,52,45,21,110,226,78,823,34,1670,58,127,103,113,483,542,147,329,19,1921,91,42,46,52,389,346,89,203,17,1273,204,325,331,348,1103,1791,627,1739,81,6556,41,44,61,63,374,321,122,223,12,1251,208,1068,860,506,1320,743,250,441,56,5449,138,1331,954,560,1155,748,191,557,85,5714,156,216,335,206,594,794,305,655,54,3310,19,44,47,30,189,138,41,68,7,586,49,55,40,64,234,236,45,103,8,835,29,78,81,39,235,232,79,194,6,979,155,293,357,318,997,1070,308,590,22,4116,78,375,328,203,500,388,100,288,37,2295,937,413,483,567,4223,3776,1295,2122,121,13939,269,711,670,492,1528,1175,404,906,55,6218,610,810,1030,1074,3157,2039,459,886,105,10171,61,224,167,93,328,359,58,157,19,1459
7RNTE,47,55,51,36,81,62,11,46,204,590,925,1650,1522,1268,4280,2882,843,2009,403,15781,34,104,60,43,196,184,105,762,39,1519,94,29,21,10,47,154,152,404,21,917,16,35,31,20,99,138,44,93,5,480,23,21,9,7,72,97,34,53,6,319,80,103,102,91,351,508,191,532,32,1997,18,19,14,11,84,79,28,93,8,351,91,390,304,149,483,378,159,268,34,2259,60,264,167,127,453,441,145,411,33,2113,50,59,73,55,212,196,73,217,23,963,3,16,11,8,60,30,7,38,3,180,12,12,17,13,39,35,6,14,0,151,4,15,14,18,60,59,15,36,0,216,38,85,74,68,242,256,92,168,14,1035,41,128,86,51,210,134,26,147,11,833,340,305,316,294,1752,1332,373,682,84,5470,181,369,378,333,952,721,257,550,39,3795,345,424,478,488,1958,1141,251,571,79,5731,49,153,110,69,268,166,45,96,22,976
79499,4,3,0,0,3,0,0,0,5,11,53,37,19,18,52,25,13,28,11,259,6,0,5,0,7,0,0,20,4,41,4,0,0,0,0,0,0,11,0,16,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,3,8,0,3,0,3,6,3,9,3,42,0,0,0,0,0,0,0,0,0,7,0,4,0,5,5,8,0,4,0,33,6,7,11,8,16,10,3,11,4,81,6,6,3,5,0,0,0,4,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,7,0,5,0,0,10,0,0,0,0,15,7,10,7,8,4,4,3,5,0,38,0,3,3,0,0,4,0,5,0,21,14,5,0,0,7,5,0,3,0,37,14,4,0,0,3,5,0,0,0,28,15,0,0,9,11,7,0,6,0,47,0,9,0,0,0,6,0,0,0,17
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,0,0,0,3,0,11,3,20,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,69,273,220,129,392,252,46,88,438,1900,6861,17705,15867,10830,32354,22553,6441,9147,1076,122843,35,135,81,53,123,112,31,79,6,652,9,11,4,6,15,22,11,72,7,150,127,467,329,202,979,1144,304,544,18,4120,98,91,80,91,573,519,155,254,16,1878,488,926,1085,809,2573,5546,1674,3206,212,16523,50,145,130,117,523,536,159,288,10,1957,671,4580,2858,1207,3156,1806,622,983,133,16011,747,5659,2821,1024,2440,1566,506,844,148,15748,286,489,609,353,1084,1143,436,786,74,5252,106,303,252,210,1136,1002,277,411,11,3711,129,225,289,219,1091,904,241,407,11,3510,103,245,240,144,832,720,220,487,20,3012,754,1869,2053,1579,6459,8917,1991,3383,116,27120,238,1162,1061,493,1530,1245,243,454,55,6487,3959,2190,3829,4344,24980,20455,6075,7850,305,73991,1095,4277,2774,1709,5575,3750,1496,2584,93,23352,1485,3714,4303,3302,7524,4617,1132,2189,197,28459,220,1288,609,313,963,627,182,309,24,4533
89499,0,0,0,0,0,0,0,0,0,3,6,30,12,10,28,9,4,10,0,111,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,3,0,16,0,0,0,0,0,0,0,0,0,0,0,7,3,0,3,3,0,0,0,22,0,11,3,0,0,4,0,0,0,22,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,6,0,0,0,15,0,0,0,3,0,0,0,0,0,4,7,0,0,0,18,8,6,5,0,40,0,6,0,0,4,5,0,0,0,19,0,4,4,0,8,0,0,3,0,30,0,0,4,0,0,3,0,0,0,11
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,8,14,4,6,11,3,0,4,7,48,73,223,134,118,237,171,41,90,20,1105,0,11,0,7,6,4,3,8,0,30,3,4,0,0,26,12,14,37,3,93,0,5,0,5,4,4,0,4,0,32,10,3,0,0,15,10,4,8,3,50,3,15,17,18,60,57,7,32,0,209,3,3,3,3,7,4,0,0,0,20,4,44,35,15,40,22,14,18,0,200,26,64,29,19,45,29,4,24,10,257,3,21,10,9,19,17,10,15,0,104,0,3,0,0,0,8,0,0,0,15,0,4,3,4,3,4,0,5,0,26,0,8,6,0,9,3,4,0,0,24,8,11,5,10,3,7,4,7,0,61,17,22,12,21,42,25,6,6,0,151,18,27,16,13,132,117,25,74,4,419,7,16,20,26,30,26,15,22,0,161,10,26,24,11,29,34,3,10,0,150,7,18,6,0,21,10,4,6,0,66
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
